Nutrient,Unit,Category,Gender,Nutrient_standard,age_group,recommended_amount,age_start,age_end,nutrient_code,nutrient_name,unit,category,nutrient_id
Potassium,(mg),Minerals,Persons,potassium_mg,51-70,2918.5,51,70,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Persons,sodium_mg,51-70,2236.6,51,70,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Persons,zinc_mg,51-70,10.9,51,70,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Males,energy_with_fibre_kj,71_and_over,8174.0,71,144,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Males,protein_g,71_and_over,82.6,71,144,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Males,fat_total_g,71_and_over,66.9,71,144,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Males,available_carbohydrate_without_sugar_alcohols_g,71_and_over,219.4,71,144,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Males,total_sugars_g,71_and_over,101.8,71,144,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Males,total_dietary_fibre_g,71_and_over,25.1,71,144,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Males,thiamin_b1_mg,71_and_over,1.7,71,144,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Males,riboflavin_b2_mg,71_and_over,1.8,71,144,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Males,niacin_b3_mg,71_and_over,21.9,71,144,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Males,folate_ug,71_and_over,526.5,71,144,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Males,pyridoxine_b6_mg,71_and_over,1.3,71,144,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Males,vitamin_c_mg,71_and_over,100.0,71,144,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Males,vitamin_e_mg,71_and_over,9.3,71,144,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Males,calcium_mg,71_and_over,726.4,71,144,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Males,iron_mg,71_and_over,11.6,71,144,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Males,magnesium_mg,71_and_over,315.7,71,144,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Males,potassium_mg,71_and_over,2889.9,71,144,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Males,sodium_mg,71_and_over,2216.7,71,144,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Males,zinc_mg,71_and_over,10.5,71,144,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Females,energy_with_fibre_kj,71_and_over,6569.9,71,144,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Females,protein_g,71_and_over,71.5,71,144,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Females,fat_total_g,71_and_over,55.6,71,144,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Females,available_carbohydrate_without_sugar_alcohols_g,71_and_over,172.3,71,144,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Females,total_sugars_g,71_and_over,84.4,71,144,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Females,total_dietary_fibre_g,71_and_over,21.0,71,144,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Females,thiamin_b1_mg,71_and_over,1.3,71,144,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Females,riboflavin_b2_mg,71_and_over,1.6,71,144,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Females,niacin_b3_mg,71_and_over,17.9,71,144,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Females,folate_ug,71_and_over,437.0,71,144,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Females,pyridoxine_b6_mg,71_and_over,1.1,71,144,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Females,vitamin_c_mg,71_and_over,88.2,71,144,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Females,vitamin_e_mg,71_and_over,8.3,71,144,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Females,calcium_mg,71_and_over,674.2,71,144,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Females,iron_mg,71_and_over,9.2,71,144,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Females,magnesium_mg,71_and_over,270.7,71,144,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Females,potassium_mg,71_and_over,2508.6,71,144,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Females,sodium_mg,71_and_over,1772.5,71,144,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Females,zinc_mg,71_and_over,9.0,71,144,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Persons,energy_with_fibre_kj,71_and_over,7295.2,71,144,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Persons,protein_g,71_and_over,76.5,71,144,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Persons,fat_total_g,71_and_over,60.7,71,144,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Persons,available_carbohydrate_without_sugar_alcohols_g,71_and_over,193.6,71,144,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Persons,total_sugars_g,71_and_over,92.2,71,144,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Persons,total_dietary_fibre_g,71_and_over,22.9,71,144,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Persons,thiamin_b1_mg,71_and_over,1.5,71,144,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Persons,riboflavin_b2_mg,71_and_over,1.6,71,144,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Persons,niacin_b3_mg,71_and_over,19.7,71,144,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Persons,folate_ug,71_and_over,477.5,71,144,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Persons,pyridoxine_b6_mg,71_and_over,1.2,71,144,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Persons,vitamin_c_mg,71_and_over,93.6,71,144,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Persons,vitamin_e_mg,71_and_over,8.8,71,144,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Persons,calcium_mg,71_and_over,697.8,71,144,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Persons,iron_mg,71_and_over,10.3,71,144,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Persons,magnesium_mg,71_and_over,291.0,71,144,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Persons,potassium_mg,71_and_over,2681.0,71,144,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Persons,sodium_mg,71_and_over,1973.4,71,144,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Persons,zinc_mg,71_and_over,9.7,71,144,zinc_mg,Zinc,(mg),Minerals,19
